TN;VHN;TP;VHP
21;-21.85;54;21.91
23;-21.97;56;21.39
29;-22.57;57;20.98
33;-22.61;61;20.00
45;-21.39;65;19.82
51;-20.11;68;18.86
62;-18.25;72;18.50
65;-17.77;78;17.37
72;-16.71;86;15.06
75;-15.91;91;13.74
80;-14.72;95;10.49
89;-13.70;101;9.15
97;-12.03;104;6.44
99;-10.98;111;3.64
107;-9.70;113;1.96
111;-9.46;115;1.18
113;-8.06;116;0.57
119;-7.76;117;-0.29
122;-7.21;118;-0.64
124;-6.96;119;-0.69
129;-6.37;120;-1.41
134;-6.21;121;-1.12
140;-5.76;139;-1.66
141;-5.15;141;-2.63
142;-4.76;142;-2.70
143;-4.40;;
