-30;-1.119;-1.120;-1.121;-1.123;-1.125;-1.126;-1.129;-1.130;-1.133;-1.138
-27;-1.008;-1.008;-1.009;-1.011;-1.012;-1.014;-1.015;-1.017;-1.020;-1.025
-24;-0.896;-0.896;-0.897;-0.899;-0.900;-0.901;-0.903;-0.904;-0.907;-0.911
-21;-0.784;-0.784;-0.785;-0.786;-0.787;-0.789;-0.790;-0.791;-0.794;-0.797
-18;-0.672;-0.672;-0.673;-0.674;-0.674;-0.676;-0.677;-0.678;-0.680;-0.683
-15;-0.560;-0.560;-0.561;-0.561;-0.562;-0.563;-0.564;-0.565;-0.567;-0.569
-12;-0.448;-0.448;-0.449;-0.449;-0.450;-0.451;-0.451;-0.452;-0.453;-0.455
-9;-0.336;-0.336;-0.336;-0.337;-0.337;-0.338;-0.338;-0.339;-0.340;-0.341
-6;-0.224;-0.224;-0.224;-0.225;-0.225;-0.225;-0.226;-0.226;-0.227;-0.228
-3;-0.112;-0.112;-0.112;-0.112;-0.112;-0.113;-0.113;-0.113;-0.113;-0.114
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3;0.112;0.112;0.112;0.112;0.112;0.113;0.113;0.113;0.113;0.114
6;0.224;0.224;0.224;0.225;0.225;0.225;0.226;0.226;0.227;0.228
9;0.336;0.336;0.336;0.337;0.337;0.338;0.339;0.339;0.340;0.341
12;0.448;0.448;0.448;0.449;0.450;0.450;0.451;0.452;0.453;0.455
15;0.560;0.560;0.561;0.561;0.562;0.563;0.564;0.565;0.567;0.569
18;0.672;0.672;0.673;0.674;0.675;0.676;0.677;0.678;0.680;0.683
21;0.784;0.784;0.785;0.786;0.787;0.788;0.790;0.791;0.794;0.797
24;0.896;0.896;0.897;0.898;0.899;0.901;0.903;0.904;0.907;0.911
27;1.007;1.008;1.009;1.011;1.012;1.014;1.015;1.017;1.020;1.024
30;1.120;1.120;1.121;1.123;1.125;1.126;1.128;1.131;1.133;1.138
